dua_id,category,title,arabic_text,transliteration,english_meaning,urdu_meaning,source,reference,authenticity,occasion,data_source,verification_status
DUA-0049,General,Mashallah,مَا شَاءَ اللَّهُ,Masha'Allah,What Allah has willed.,جو اللہ نے چاہا۔,Quran 18:39,Al-Kahf:39,Sahih,Expressing admiration,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0050,General,Inshallah,إِنْ شَاءَ اللَّهُ,In sha'Allah,If Allah wills.,اگر اللہ نے چاہا۔,Quran 18:24,Al-Kahf:24,Sahih,When intending to do something in the future,Manual (Hisnul Muslim + Quran),📖 Quran — Verified
DUA-0051,Morning Dhikr,Ayatul Kursi,,,,,,,Sahih,Ayatul Kursi,dua-dhikr-api,🔍 Manual check needed
DUA-0052,Wudu,After Wudu,أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ,"Ash-hadu an la ilaha illallahu wahdahu la sharika lah, wa ash-hadu anna Muhammadan abduhu wa rasuluh","I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.",میں گواہی دیتا ہوں کہ اللہ کے سوا کوئی معبود نہیں، وہ اکیلا ہے، اس کا کوئی شریک نہیں اور میں گواہی دیتا ہوں کہ محمدﷺ اس کے بندے اور رسول ہیں۔,Sahih Muslim,234,Sahih,After completing wudu,Manual (Hisnul Muslim),✅ VERIFIED | It is reported on the authority of Ibn 'Abbas that there was (once) a downpour d...
DUA-0053,Fasting,Intention for Fasting,وَبِصَوْمِ غَدٍ نَوَيْتُ مِنْ شَهْرِ رَمَضَانَ,Wa bisawmi ghadin nawaitu min shahri Ramadan,I intend to fast tomorrow in the month of Ramadan.,میں نے رمضان کے مہینے میں کل کا روزہ رکھنے کی نیت کی۔,Sunan Abu Dawud,2454,Hasan,Night before fasting in Ramadan,Manual (Hisnul Muslim),"✅ VERIFIED | Narrated Hafsah, Ummul Mu'minin: The Messenger of Allah (ﷺ) said: He who does no..."
DUA-0054,Fasting,Breaking Fast (Iftar),اللَّهُمَّ لَكَ صُمْتُ، وَعَلَى رِزْقِكَ أَفْطَرْتُ,Allahumma laka sumtu wa 'ala rizqika aftartu,"O Allah, for You I have fasted and upon Your provision I have broken my fast.",اے اللہ میں نے تیرے لیے روزہ رکھا اور تیرے رزق سے افطار کیا۔,Sunan Abu Dawud,2358,Hasan,When breaking the fast at Iftar,Manual (Hisnul Muslim),✅ VERIFIED | Narrated Mu'adh ibn Zuhrah: The Prophet of Allah (ﷺ) used to say when he broke h...
DUA-0055,Fasting,Seeing the New Moon,اللَّهُ أَكْبَرُ، اللَّهُمَّ أَهِلَّهُ عَلَيْنَا بِالْأَمْنِ وَالْإِيمَانِ، وَالسَّلَامَةِ وَالْإِسْلَامِ، وَالتَّوْفِيقِ لِمَا تُحِبُّ وَتَرْضَى,"Allahu Akbar, Allahumma ahillahu 'alayna bil-amni wal-iman, was-salamati wal-Islam, wat-tawfiqi lima tuhibbu wa tarda","Allah is the Greatest. O Allah, let this moon appear on us with security and faith, with peace and Islam, and with guidance to what You love and pleases You.",اللہ سب سے بڑا ہے، اے اللہ اس چاند کو ہم پر امن و ایمان، سلامتی و اسلام اور اس چیز کی توفیق کے ساتھ طلوع فرما جو تجھے پسند اور راضی کرے۔,Sunan At-Tirmidhi,3451,Hasan,Upon sighting the new moon,Manual (Hisnul Muslim),"✅ VERIFIED | Bilal bin Yahya bin Talhah bin `Ubaidullah narrated :from his father, from his g..."
DUA-0056,Quran Recitation,After Reading Quran,سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ، لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,"Subhanakallahumma wa bihamdika, la ilaha illa anta, astaghfiruka wa atubu ilayk","Glory and praise be to You, O Allah. There is none worthy of worship but You. I seek Your forgiveness and repent to You.",اے اللہ تو پاک ہے اور تیری تعریف کے ساتھ، تیرے سوا کوئی معبود نہیں، میں تجھ سے مغفرت مانگتا ہوں اور توبہ کرتا ہوں۔,Sunan Abu Dawud,1500,Sahih,After finishing Quran recitation,Manual (Hisnul Muslim),"✅ VERIFIED | Narrated Sa'd ibn AbuWaqqas: Once Sa'd, with the Messenger of Allah (ﷺ), visited..."
DUA-0057,Marriage,Dua for Newlyweds,بَارَكَ اللَّهُ لَكَ وَبَارَكَ عَلَيْكَ وَجَمَعَ بَيْنَكُمَا فِي خَيْرٍ,Barakallahu laka wa baraka 'alayka wa jama'a baynakuma fi khayr,"May Allah bless you and send blessings upon you, and may He unite you both in goodness.",اللہ تجھے برکت دے اور تجھ پر برکت نازل کرے اور تم دونوں کو خیر میں جمع کرے۔,Sunan Abu Dawud,2130,Sahih,When congratulating a newlywed couple,Manual (Hisnul Muslim),"✅ VERIFIED | Narrated AbuHurayrah: When the Prophet (ﷺ) congratulated a man on his marriage, ..."
DUA-0058,Marriage,Before Intimacy,بِسْمِ اللَّهِ، اللَّهُمَّ جَنِّبْنَا الشَّيْطَانَ، وَجَنِّبِ الشَّيْطَانَ مَا رَزَقْتَنَا,"Bismillah, Allahumma jannibnas-shaytan, wa jannibishaytana ma razaqtana","In the name of Allah. O Allah, keep us away from the devil and keep the devil away from what You bestow upon us.",اللہ کے نام سے، اے اللہ ہمیں شیطان سے دور رکھ اور شیطان کو اس سے دور رکھ جو تو ہمیں عطا فرمائے۔,Sahih Bukhari,141,Sahih,Before marital intimacy,Manual (Hisnul Muslim),"✅ VERIFIED | Narrated Ibn `Abbas:The Prophet (ﷺ) said, ""If anyone of you on having sexual rel..."
DUA-0059,Death & Condolence,Upon Hearing of Death,إِنَّا لِلَّهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ، اللَّهُمَّ أْجُرْنِي فِي مُصِيبَتِي وَأَخْلِفْ لِي خَيْرًا مِنْهَا,"Inna lillahi wa inna ilayhi raji'un, Allahumma'-jurni fi musibati wa akhlif li khayran minha","Truly, to Allah we belong and truly, to Him we shall return. O Allah, reward me for my affliction and replace it for me with something better.",بیشک ہم اللہ کے لیے ہیں اور اسی کی طرف لوٹنے والے ہیں، اے اللہ مجھے اس مصیبت میں اجر دے اور مجھے اس سے بہتر عوض عطا فرما۔,Sahih Muslim,918,Sahih,Upon a calamity or hearing news of death,Manual (Hisnul Muslim),✅ VERIFIED | Abu Harare reported:The Messenger of Allah (ﷺ) said: When anyone amongst you utt...
DUA-0060,Death & Condolence,Dua for the Deceased,اللَّهُمَّ اغْفِرْ لَهُ وَارْحَمْهُ وَعَافِهِ وَاعْفُ عَنْهُ,Allahummaghfir lahu warhamhu wa 'afihi wa'fu 'anh,"O Allah, forgive him and have mercy on him, keep him safe and sound and pardon him.",اے اللہ اسے معاف فرما، اس پر رحم فرما، اسے عافیت دے اور اس سے درگزر فرما۔,Sahih Muslim,963,Sahih,Funeral prayer (Salat al-Janazah) for the deceased,Manual (Hisnul Muslim),✅ VERIFIED | Abu Huraira reported:The Messenger of Allah (ﷺ) said: Does the man who lifts his...
DUA-0061,Death & Condolence,At the Graveyard,السَّلَامُ عَلَيْكُمْ أَهْلَ الدِّيَارِ مِنَ الْمُؤْمِنِينَ وَالْمُسْلِمِينَ، وَإِنَّا إِنْ شَاءَ اللَّهُ بِكُمْ لَاحِقُونَ,"As-salamu 'alaykum ahl ad-diyari minal mu'minina wal muslimin, wa inna in sha'Allahu bikum lahiqun","Peace be upon you, O dwellers of this place from among the believers and Muslims. And indeed, Allah willing, we will follow you.",السلام علیکم اے اس جگہ کے مومنین اور مسلمانوں، اور ہم بھی ان شاء اللہ تم سے ملنے والے ہیں۔,Sahih Muslim,975,Sahih,When visiting the graveyard,Manual (Hisnul Muslim),✅ VERIFIED | Anas b. Malik reported:The Messenger of Allah (ﷺ) said: Straighten your rows. fo...
DUA-0062,Seeking Guidance,Istikhara Dua,اللَّهُمَّ إِنِّي أَسْتَخِيرُكَ بِعِلْمِكَ، وَأَسْتَقْدِرُكَ بِقُدْرَتِكَ، وَأَسْأَلُكَ مِنْ فَضْلِكَ الْعَظِيمِ,"Allahumma inni astakhiruka bi'ilmika, wa astaqdiruka biqudratika, wa as'aluka min fadlikal-'azim","O Allah, I seek Your guidance by virtue of Your knowledge, and I seek ability by virtue of Your power, and I ask You of Your great bounty.",اے اللہ میں تیرے علم کے ذریعے تجھ سے خیر مانگتا ہوں اور تیری قدرت سے طاقت مانگتا ہوں اور تیرے عظیم فضل سے مانگتا ہوں۔,Sahih Bukhari,1166,Sahih,When making an important decision (Salat al-Istikhara),Manual (Hisnul Muslim),✅ VERIFIED | Narrated Jabir bin `Abdullah:The Prophet (ﷺ) used to teach us the way of doing I...
DUA-0063,Family & Parents,Dua for Deceased Parents,رَبِّ اغْفِرْ لِي وَلِوَالِدَيَّ,Rabbighfir li wa li walidayya,"My Lord, forgive me and my parents.",اے میرے رب مجھے اور میرے والدین کو بخش دے۔,Quran 71:28,Nuh:28,Sahih,Seeking forgiveness for oneself and parents,Manual (Hisnul Muslim),📖 Quran — Verified
DUA-0064,Wealth & Sustenance,Dua for Barakah in Rizq,اللَّهُمَّ بَارِكْ لَنَا فِيمَا رَزَقْتَنَا وَقِنَا عَذَابَ النَّارِ,Allahumma barik lana fima razaqtana wa qina 'adhaban-nar,"O Allah, bless us in what You have provided us and protect us from the punishment of the Fire.",اے اللہ ہمیں جو رزق دیا ہے اس میں برکت دے اور ہمیں جہنم کے عذاب سے بچا۔,Sunan Abu Dawud,3730,Sahih,Dua for blessing in sustenance,Manual (Hisnul Muslim),✅ VERIFIED | Narrated Abdullah ibn Abbas: I was in the house of Maymunah. The Messenger of Al...
DUA-0065,Wealth & Sustenance,Dua to Repay Debt,اللَّهُمَّ اكْفِنِي بِحَلَالِكَ عَنْ حَرَامِكَ، وَأَغْنِنِي بِفَضْلِكَ عَمَّنْ سِوَاكَ,"Allahummak-fini bihalaalika 'an haraamika, wa aghnini bifadlika 'amman siwak","O Allah, suffice me with what You have allowed instead of what You have forbidden, and make me independent of all others besides You.",اے اللہ مجھے حلال سے حرام سے بے نیاز کر دے اور اپنے فضل سے مجھے اپنے سوا ہر ایک سے بے نیاز فرما دے۔,Sunan At-Tirmidhi,3563,Hasan,When in debt or financial difficulty,Manual (Hisnul Muslim),✅ VERIFIED | Ali [may Allah be pleased with him] narrated:that a Mukatib came to him and said...
DUA-0066,Seeking Paradise,Dua for Jannah,اللَّهُمَّ إِنِّي أَسْأَلُكَ الْجَنَّةَ وَأَعُوذُ بِكَ مِنَ النَّارِ,Allahumma inni as'alukal-jannah wa a'udhu bika minan-nar,"O Allah, I ask You for Paradise and I seek refuge in You from the Fire.",اے اللہ میں تجھ سے جنت مانگتا ہوں اور جہنم سے تیری پناہ مانگتا ہوں۔,Sunan Abu Dawud,792,Sahih,Asking Allah for Paradise,Manual (Hisnul Muslim),✅ VERIFIED | Narrated Some Companions of the Prophet: AbuSalih reported on the authority of s...
DUA-0067,Seeking Paradise,Dua for Good in Both Worlds,رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,Rabbana atina fid-dunya hasanatan wa fil-akhirati hasanatan wa qina 'adhaban-nar,"Our Lord, give us in this world that which is good and in the Hereafter that which is good, and save us from the torment of the Fire.",اے ہمارے رب ہمیں دنیا میں بھلائی دے اور آخرت میں بھلائی دے اور ہمیں جہنم کے عذاب سے بچا۔,Quran 2:201,Al-Baqarah:201,Sahih,The most comprehensive dua — read anytime,Manual (Hisnul Muslim),📖 Quran — Verified
DUA-0068,Congratulations,For New Baby,بَارَكَ اللَّهُ لَكَ فِي الْمَوْهُوبِ لَكَ، وَشَكَرْتَ الْوَاهِبَ، وَبَلَغَ أَشُدَّهُ، وَرُزِقْتَ بِرَّهُ,"Barakallahu laka fil-mawhubi lak, wa shakarta al-wahib, wa balagha ashuddahu, wa ruziqta birrah","May Allah bless you with His gift to you, may you give thanks to the Giver, may the child reach maturity, and may you be granted its righteousness.",اللہ تجھے اس عطیے میں برکت دے، تو عطا کرنے والے کا شکر ادا کرے، بچہ جوانی کو پہنچے اور تجھے اس کی نیکی نصیب ہو۔,Hisnul Muslim,177,Hasan,Congratulating parents on the birth of a new baby,Manual (Hisnul Muslim),🕌 Hisnul Muslim — Trusted Source
DUA-0069,Friday (Jumu'ah),Salawat on Prophet ﷺ,اللَّهُمَّ صَلِّ عَلَى مُحَمَّدٍ وَعَلَى آلِ مُحَمَّدٍ,Allahumma salli 'ala Muhammadin wa 'ala ali Muhammad,"O Allah, send prayers upon Muhammad and upon the family of Muhammad.",اے اللہ محمدﷺ پر اور آل محمد پر درود بھیج۔,Sahih Bukhari,3370,Sahih,Sending blessings upon the Prophet ﷺ especially on Fridays,Manual (Hisnul Muslim),"✅ VERIFIED | Narrated `Abdur-Rahman bin Abi Laila:Ka`b bin Ujrah met me and said, ""Shall I no..."
DUA-0070,Friday (Jumu'ah),Dua in Last Hour of Friday,اللَّهُمَّ إِنَّكَ عَفُوٌّ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,Allahumma innaka 'afuwwun tuhibbul-'afwa fa'fu 'anni,"O Allah, You are Forgiving and love forgiveness, so forgive me.",اے اللہ بیشک تو معاف کرنے والا ہے اور معافی کو پسند کرتا ہے، پس مجھے معاف فرما دے۔,Sunan Ibn Majah,3850,Sahih,Last hour of Friday (most accepted dua time),Manual (Hisnul Muslim),"✅ VERIFIED | It was narrated from 'Aishah that she said:""O Messenger of Allah, what do you th..."
DUA-0071,Repentance,Complete Tawbah,رَبَّنَا ظَلَمْنَا أَنفُسَنَا وَإِن لَّمْ تَغْفِرْ لَنَا وَتَرْحَمْنَا لَنَكُونَنَّ مِنَ الْخَاسِرِينَ,Rabbana zalamna anfusana wa in lam taghfir lana wa tarhamna lanakunanna minal-khasirin,"Our Lord, we have wronged ourselves, and if You do not forgive us and have mercy upon us, we will surely be among the losers.",اے ہمارے رب ہم نے اپنی جانوں پر ظلم کیا اور اگر تو نے ہمیں معاف نہ کیا اور ہم پر رحم نہ کیا تو ہم نقصان اٹھانے والوں میں سے ہوں گے۔,Quran 7:23,Al-A'raf:23,Sahih,Dua of Prophet Adam — for complete repentance,Manual (Hisnul Muslim),📖 Quran — Verified
DUA-0072,Laylatul Qadr,Night of Power Dua,اللَّهُمَّ إِنَّكَ عَفُوٌّ كَرِيمٌ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,Allahumma innaka 'afuwwun karimun tuhibbul-'afwa fa'fu 'anni,"O Allah, You are Pardoning and Generous; You love to pardon, so pardon me.",اے اللہ بیشک تو معاف کرنے والا کریم ہے اور معافی کو پسند کرتا ہے پس مجھے معاف فرما دے۔,Sunan At-Tirmidhi,3513,Sahih,Laylatul Qadr (Night of Power) in last 10 nights of Ramadan,Manual (Hisnul Muslim),"✅ VERIFIED | Aishah narrated:“I said: ‘O Messenger of Allah, what is your view if I know when..."
